station_m,axial_n,shear_n,moment_nm,stress_mpa
-0.039160000399999895,870.4258894150988,0.25436065518083917,0.6315303015372615,1.506230570550622
-0.028612962359117748,870.4258894150988,0.25436065518083917,0.6288799678755904,1.5060860498963706
-0.028612942359117745,795.5153458899671,0.3607223022145089,0.628879961775822,1.3794206228256383
-0.013830000200000026,795.5153458899671,0.3607223022145089,0.623577532521286,1.3791314854403838
0.011500000000000066,795.5153458899671,0.3607223022145089,0.6144932362071297,1.3786361257557818
0.036830000199999935,795.5153458899671,0.3607223022145089,0.6054105290374849,1.3781408527260066
0.062160000400000026,795.5153458899671,0.3607223022145089,0.5963294836252381,1.3776456703105833
0.07968322058196259,795.5153458899671,0.3607223022145089,0.590048255653833,1.3773031597848115
0.07968324058196258,720.6048023648352,0.4535430958176717,0.590048247549711,1.2506377326047828
0.08749000060000012,720.6048023648352,0.4535430958176717,0.586519784098512,1.2504453282091235
0.11282000079999999,720.6048023648352,0.4535430958176717,0.5750722832104501,1.249821104798384
0.13815000100000008,720.6048023648352,0.4535430958176717,0.5636264404014703,1.2491969718014204
0.16348000119999995,720.6048023648352,0.4535430958176717,0.5521823587794356,1.2485729348406251
0.187473837582266,720.6048023648352,0.4535430958176717,0.5413436807968403,1.2479819100742278
0.18747385758226598,646.3936781219414,0.5319558734397035,0.5413436709726442,1.122499123289775
0.18881000140000004,646.3936781219414,0.5319558734397035,0.540634543615107,1.1224604551208792
0.21414000160000013,646.3936781219414,0.5319558734397035,0.5271920698984572,1.1217274473775967
0.2394700018,646.3936781219414,0.5319558734397035,0.5137512711153732,1.1209945309671523
0.2648000020000001,646.3936781219414,0.5319558734397035,0.5003122822562335,1.1202617132504669
0.29013000219999996,646.3936781219414,0.5319558734397035,0.4868752531965016,1.1195290024001348
0.2937524771142631,646.3936781219414,0.5319558734397035,0.48495377660431827,1.119424225760783
0.2937524971142631,573.5748621244817,0.5957654775131422,0.48495376535193097,0.9962956778314498
0.31546000240000005,573.5748621244817,0.5957654775131422,0.47204243018580105,0.9955916326644381
0.3407900025999999,573.5748621244817,0.5957654775131422,0.4569780023910767,0.9947701810139151
0.3661200028,573.5748621244817,0.5957654775131422,0.44191537005427645,0.9939488272683304
0.3914500030000001,573.5748621244817,0.5957654775131422,0.42685472324706,0.9931275817921457
0.3975268446443509,573.5748621244817,0.5957654775131422,0.4232418891151948,0.9929305767282212
0.3975268646443509,502.828243662948,0.6453211487921853,0.42324187672389635,0.8733058851076259
0.41678000319999997,502.828243662948,0.6453211487921853,0.4108314162886701,0.8726291522540995
0.44211000340000006,502.828243662948,0.6453211487921853,0.3945051886110813,0.8717388956273416
0.46744000359999993,502.828243662948,0.6453211487921853,0.3781806678194535,0.8708487320757612
0.4927700038,502.828243662948,0.6453211487921853,0.3618580849223395,0.8699586741960766
0.4978280274814128,502.828243662948,0.6453211487921853,0.3585989636483395,0.869780956821991
0.4978280474814128,434.81436436063507,0.6814488010749138,0.3585989503952499,0.7547770242021669
0.5181000039999999,434.81436436063507,0.6814488010749138,0.344794722910844,0.7540242903044192
0.5434300042,434.81436436063507,0.6814488010749138,0.3275474045923999,0.7530838073141034
0.5687600044000001,434.81436436063507,0.6814488010749138,0.31030161873582096,0.7521434078877531
0.5937195413472165,434.81436436063507,0.6814488010749138,0.29330982279683543,0.7512168583360791
0.5937195613472166,370.16825079287,0.7053835728357362,0.29330980893838,0.6419074442896596
0.5940900045999999,370.16825079287,0.7053835728357362,0.2930486054249972,0.6418932010631585
0.6194200048,370.16825079287,0.7053835728357362,0.2751886056182176,0.6409193090229474
0.6447500049999999,370.16825079287,0.7053835728357362,0.25732962853342184,0.6399454727509786
0.6700800052,370.16825079287,0.7053835728357362,0.23947190298380583,0.6389717047242597
0.6843060742334554,370.16825079287,0.7053835728357362,0.22944314022089754,0.6384248440112906
0.6843060942334555,309.49348527446716,0.7186923702881652,0.2294431259856427,0.5358305393498421
0.6954100054000001,309.49348527446716,0.7186923702881652,0.22146403694851685,0.5353954457672294
0.7207400056,309.49348527446716,0.7186923702881652,0.2032626676295777,0.5344029391103183
0.7460700058,309.49348527446716,0.7186923702881652,0.18506190983626417,0.5334104657994289
0.7687418459672838,309.49348527446716,0.7186923702881652,0.16877184154062322,0.5325221809159318
0.7687418659672839,253.35657011487163,0.7231858110309528,0.168771827123847,0.4376008782697169
0.7714000059999999,253.35657011487163,0.7231858110309528,0.16684951573380735,0.4374960561094805
0.7967300061999998,253.35657011487163,0.7231858110309528,0.14853141135503933,0.4364971839796237
0.79999999,253.35657011487163,0.7231858110309528,0.14616663381515066,0.43636823448086204
0.8000000100000001,233.79393648809977,0.7231858110309528,0.14616661935161054,0.4032899883631302
0.8220600064000001,233.79393648809977,0.7231858110309528,0.13021336109785467,0.40242006947192904
0.8462385055676006,233.79393648809977,0.7231858110309528,0.11272812356971537,0.401466612930267
0.8462385255676007,182.71900419758964,0.7208220110155644,0.1127281091303854,0.31510456229303657
0.8473900066,182.71900419758964,0.7208220110155644,0.11189816588446197,0.3150593061267557
0.8727200067999998,182.71900419758964,0.7208220110155644,0.09364158805747809,0.3140637889924024
